TradeStep,Equity_TOP10_JPY,Equity_TOP30_JPY,Equity_TOP100_JPY
278,167917724.93119124,184383312.2942732,177224268.80344245
279,170898047.8969671,186702950.42437607,179002163.96368223
280,173786772.40869522,188961106.28550586,180769451.68189937
281,174665888.1491769,191921735.2944305,182945212.16644165
282,177851609.4851538,195206294.6629072,185289435.06433076
283,178073374.2582873,195722640.47107565,186581071.64100882
284,179625632.1191101,197884555.6730635,188397542.57208937
285,179233455.6811375,198159130.40059012,189781725.44830778
286,182668628.90816128,200295902.81804106,191645688.28382143
287,184571719.86423388,202203182.84433928,193843531.92455477
288,184164827.6937877,203415308.62349743,195742300.57900628
289,186504862.50528044,204914109.6911929,197266053.63581333
290,187590986.82574514,206715039.7084562,199120196.0746409
291,191001676.23510945,209616755.64760855,201343653.34123993
292,191711645.3807231,212031649.55316034,203518032.3935144
293,194141648.40266943,214916774.25309682,205933612.95086172
294,195498669.6460282,216233382.51525658,208268290.1742616
295,197472895.69419524,217637886.38718155,210412684.27324858
296,199797557.7933079,219708906.08492807,212181071.1050206
297,202826606.86754626,221726223.88205695,213954903.75337657
298,206820017.396957,224823026.9458341,216914186.63766518
299,210765677.3162474,227090963.5423744,218729141.19262987
300,211543711.98344097,226399364.09540683,220255056.33765736
301,215704607.85809755,230400195.31446218,222690045.4232149
302,215271165.07391065,231026705.68866402,224154799.8740167
303,218176763.98150167,233721939.46346667,226511843.10182562
304,219735055.12709382,236735394.24411985,229310590.23647454
305,221726931.03313765,239259778.42049277,231268152.55667627
306,226023455.1916513,241735914.55973202,234050946.93157548
307,230771566.31623703,245754311.19207716,237189345.69237933
308,232005544.9356482,248269124.89791942,239171145.5365278
309,232028449.99703026,249380223.20360753,241395822.96929047
310,232488828.671777,251231595.80370018,243269628.15311393
311,233178390.77661884,253661372.19798726,245271034.3892811
312,235710640.33424988,256330519.53345266,248157932.88878122
313,237635577.26690778,258549876.7386481,251046720.34387353
314,239554869.30102175,261025692.550096,252915324.93607745
315,243332014.83454716,263563995.64324886,255485448.51431853
316,245710163.23307422,266540096.256667,258881972.28370067
317,247040355.37763137,269025937.3071502,262070923.48033285
318,247892921.04662827,271025689.56633395,264435959.8368644
319,250221340.4416918,273256698.2996972,267108890.69816706
320,254259524.23381847,277189878.22257876,269627205.2635428
321,255056858.01165712,279998720.7676316,272499686.18170553
322,259082869.9030773,282836192.3205884,275241328.19129413
323,260524969.56983975,286579740.7706707,278234942.322992
324,262660203.48114046,289112509.880277,281070974.0341858
325,266663279.11771178,291841060.2789724,284118829.2443586
326,271088429.2050627,296642072.4764787,287366603.7568225
327,275509123.9739951,300063127.2662464,289943727.4266529
328,278776212.6567424,304888715.87682486,292609575.7704022
329,279571879.1964296,305948283.81102514,295113333.5575619
330,280190133.03482133,305911639.4680137,296447594.3337592
331,285166536.05549985,309806859.20786124,299402977.38193953
332,288452358.95418024,314215400.6113151,303111770.2420628
333,289769042.7605767,316479004.02319086,305371662.0415055
334,295392678.1004894,321131574.3373389,309384536.1994078
335,297275111.7749102,323037351.94783944,312401812.93123233
336,300919721.82814586,326558011.0327682,316328464.1270992
337,304991462.88866603,330759707.20124656,320274989.1874478
338,304155530.86357874,332755772.9059885,322970264.01115257
339,306471993.82888854,335885402.0315789,326902932.9093317
340,312369239.8634147,338769520.52990454,330786432.4618383
341,316433050.97484165,343482295.3843881,334929250.2983891
342,321957078.13034266,347725303.1826793,338351283.51627654
343,325468803.68714917,350320048.75005615,342555037.0213658
344,327835705.6940508,352394990.9044756,344874566.61353934
345,333184977.243784,356701358.1057843,348603999.0422983
346,333645815.2846613,357782258.01636654,351786105.3562979
347,334727374.6710284,360328079.43602616,354841705.29379034
348,341215685.28321266,364203612.00496686,359735459.8013225
349,346830952.96004796,369561173.06848013,363792369.6369853
350,350640659.0001362,372420349.52831334,368081163.73092383
351,352831108.71269554,372921510.1758498,372101506.40410155
352,360622729.861336,378557707.0507989,376229250.9953562
353,365392719.8183638,383470386.5193307,380874799.2561682
354,373201121.7998392,389518998.6583029,385466251.3293715
355,377888856.03151184,391769410.25340223,388901705.4354452
356,380618646.0575545,395254123.61596435,392793199.5993013
357,383240949.1792885,399354664.47509134,396629879.5419704
358,390758051.1353171,404386385.8433486,400598075.7895323
359,392524279.0833282,405818937.79775876,403941374.6468049
360,398539994.9807079,411324087.01903665,409064759.618028
361,402148745.08130985,416137968.1284946,414467642.61968315
362,409338011.5007645,422368095.9057202,418874855.3678045
363,411197506.9696251,425566819.8175734,422117988.2463763
364,417140926.1018705,431058085.5413806,428290743.8603153
365,421567360.4791929,437596531.2915955,432997354.2642426
366,424427595.16113424,441678577.6647704,436326522.6472314
367,429477970.84097356,446644049.8988722,442918489.6649987
368,433121267.600072,451593941.297581,448092595.5441545
369,436867774.90369564,456663203.41456354,453448240.93687105
370,435083472.28812754,458696899.6139425,458601939.9658008
371,439103401.29048353,464246737.6968229,463278986.9719966
372,444724424.9005097,470701992.0767457,468305322.6915424
373,450775471.2691431,476086345.8403114,473089318.5242258
374,456486071.36611825,481642544.73864573,477360466.4327024
375,460801902.4552041,487506486.39729863,483717470.18335146
376,462874629.4024481,491306550.7428183,487922150.2661937
377,465828947.3676043,495705886.0999735,492163679.283829
378,471186907.6076935,501830608.9498055,498765667.6451839
379,471109726.5338298,506546429.83028024,502938504.75382334
380,476627027.6464071,513506783.5496825,508534423.3983373
381,477362377.607144,517419803.93182,512844643.01654893
382,483402380.6751227,520944502.46271515,516523557.2293589
383,487691614.5471014,527737690.2039182,522953859.45294046
384,489251515.0233286,531191952.96384096,527287202.0394485
385,496022935.5590692,539120046.7328066,533041347.0148228
386,503738436.15263194,546503616.8298298,539897097.9142575
387,508132629.9148932,552593576.2391626,544751818.5717359
388,512282303.6998698,558492606.5294057,551149646.3549142
389,515378512.447931,563913164.5281097,557634475.0153848
390,520299018.69907975,567335317.9496468,561457344.8574041
391,521851989.77655125,577779916.9091482,568793445.5679643
392,521603174.6766024,584582266.0557775,576055962.4899544
393,530980665.63557214,593208581.0909102,580670539.2623394
394,537795945.8129443,600699087.6980718,587640792.7369922
395,538997116.6999481,608633343.5916231,594250961.4955713
396,543025809.248708,613440695.693655,600492007.3923395
397,549267428.0712795,621849830.6433238,606345610.6412883
398,550971292.1168784,624634772.0078413,611147230.0226927
399,559131000.7987344,629700818.8933686,617920454.6836004
400,566508058.7555016,634447848.4580554,624512345.3048841
401,569472780.0090684,639569821.1250906,629929125.6425804
402,570119795.4125539,645470030.2066884,636514129.8792775
403,578151146.3039699,654334449.1122369,644815812.2793409
404,582766893.4907646,660930257.5552604,650934861.3733268
405,589210966.6909474,667822836.3812481,659120979.9763215
406,596530605.744177,673745161.4569283,665763787.026487
407,598119226.5498269,676958650.8681139,670443112.8385866
408,604081110.560458,684777201.5268621,676269807.0006884
409,609266784.0668077,692602514.2031122,684513986.0672728
410,613715925.2614928,698609271.1610228,691351708.1523808
411,619197840.2798815,704548568.0533168,697268241.3254244
412,631209775.7921643,713369515.0558441,704748615.8590963
413,637836839.3037435,719406972.3054205,710689767.1535623
414,643049155.1361912,730424338.137857,719757374.5713973
415,651375530.7806119,737087438.6658437,727835246.7199249
416,653390552.9336691,741619467.1219271,738796000.8687898
417,658347192.0268915,746536860.2863834,746629364.4710575
418,663999594.2467933,750000437.1465726,752991202.5470561
419,661662551.1660341,753635336.9835756,758121366.125084
420,671370777.4413065,762249439.6033841,768147662.1144487
421,680365603.5687662,769713039.5628692,776482362.0482944
422,693593745.5663084,776665024.4184285,784990297.2260287
423,703006741.9594891,787473948.3853828,792613986.3848251
424,706077844.6162747,795528079.0302178,801739954.7278883
425,714428605.792127,802900004.5788771,808732606.5318561
426,728971315.200953,817255564.1193311,818440388.2040627
427,742292358.2116239,830030668.9461784,827500984.1765902
428,747625192.2719071,838734152.8489257,837704748.1326705
429,759361587.3116226,853139611.7962444,849662058.6914945
430,764615121.0338999,862962126.6110412,859842419.0198101
431,780986541.9576291,872698307.5806165,865320834.7792251
432,791201596.4069563,878137778.9661579,872140778.5093497
433,803517184.8170455,892225477.7205887,884302611.8582015
434,818682533.7588065,902059190.0331537,894863187.9609886
435,827921717.4438587,909431912.5419316,903421302.5428921
436,838868178.1079566,918115679.1739752,912765488.6213162
437,837526919.2151341,927936990.6286294,924196741.860959
438,849205496.3222969,937773896.3737451,935563723.8233613
439,864450168.9804219,950185259.2146273,945947964.1588358
440,877595816.7530407,964715305.3013968,957020040.1500021
441,895322720.9992168,977778255.6302412,967811729.3585507
442,907459978.5587689,988562471.1741468,974501905.3294619
443,918767383.8166896,998980859.5367686,985603575.2006689
444,938872080.6684232,1011969149.0306209,997094078.4168105
445,942186490.5077428,1019049748.7605352,1007270762.6657331
446,952952009.481077,1029565106.0556803,1019676667.3038477
447,962915012.3433509,1042246654.478198,1029762292.80458
448,967866185.8416611,1053821349.3504518,1040977346.9559301
449,985428804.6062162,1072466546.9865288,1052482560.6562624
450,994963540.9688551,1083091303.830002,1062669110.3613081
451,1008998093.3349439,1098801335.324011,1075655673.5233288
452,1017971636.1894517,1109787926.5237308,1086348189.3936248
453,1024042756.5889003,1123148040.9246294,1096245215.4263213
454,1031707802.7394795,1133536400.3840048,1104097626.4345806
455,1047594161.347817,1140313323.7378004,1115203013.1985872
456,1055655682.5492606,1150655579.477979,1127798709.7408998
457,1065124086.1260079,1160071581.1910353,1138272583.2193515
458,1084362151.879867,1170003133.5447907,1149491895.3415496
459,1088929599.5620315,1184272463.7501216,1161589469.870528
460,1115623887.2464998,1203367289.513423,1176589050.8570764
461,1121412222.3475995,1211666689.0388737,1190833106.1824636
462,1124374961.155815,1219829379.2822673,1206209167.40818
463,1142147270.1331115,1236134298.0340924,1219445003.408094
464,1158684592.6172502,1248183572.829469,1232330171.264393
465,1175002767.4684901,1259279543.7695496,1247015551.653701
466,1180963875.472086,1267743176.9523094,1257270291.9860983
467,1202114083.5764658,1281425685.6432745,1268644366.8159304
468,1224977666.8717184,1296491319.3763304,1279850641.5894923
469,1237747759.1220117,1309287943.0997074,1292929740.5192645
470,1264344837.8024664,1330935009.2848856,1304303940.7431805
471,1296895502.9343104,1348882687.133939,1313549556.298065
472,1315147310.8471465,1364727740.240797,1326509375.4643939
473,1329703961.759323,1376506361.2728844,1340931097.4971333
474,1347208417.6252234,1390889091.6093776,1355105655.2261927
475,1374472265.119859,1400204379.5037544,1368947041.6785824
476,1391624738.9628496,1416443635.419524,1384189623.845521
477,1393165037.0210862,1420787162.4313822,1396701624.7854106
478,1404727173.5716271,1440245516.1316037,1416353015.9126372
479,1418330822.6044927,1450933661.5254471,1429556086.4292088
480,1431976145.5797317,1473157557.1384258,1445018775.7938645
481,1444408650.64775,1489044628.4100654,1461749396.867938
482,1472758291.595487,1513390237.927738,1477011414.214974
483,1490179079.9931216,1533530327.2308707,1493599544.3253655
484,1499867054.510843,1542321814.837093,1505454812.7066152
485,1522062522.8413455,1556000144.4506338,1518775977.7394614
486,1553288808.2287865,1576055475.7627165,1538771693.999989
487,1560926128.3136535,1585681588.2397738,1553230321.9736598
488,1582006813.8463137,1604962883.5891166,1569027280.8100798
489,1601943296.3904877,1620480161.5644486,1587915816.2574675
490,1621071396.3009431,1639116487.5499864,1606814686.7856228
491,1638440594.333872,1653031802.3220599,1619965652.175246
492,1645700310.9524045,1665625413.4284558,1634132248.7436612
493,1663047559.7377193,1680079327.728578,1647491421.081941
494,1651333664.4049082,1687084955.3972163,1663850197.9897397
495,1671132199.8098295,1702384832.3495846,1680443990.5118613
496,1695013499.748991,1720709539.6089172,1697339058.1356072
497,1717571676.3899775,1734351872.7558062,1711756232.4349186
498,1751033837.701752,1760105246.616298,1732437435.666484
499,1754021344.286137,1770777374.812092,1751162310.9291568
500,1758377813.7711456,1782116696.1575816,1766064686.2099602
501,1771099327.0567775,1797081273.3419237,1778485707.683394
502,1796770212.2189236,1815403970.1276724,1800458575.2068658
503,1816113695.0068352,1831249797.9753025,1819448241.052614
504,1846187624.917747,1859909650.8993406,1842526915.5376432
505,1880705395.156457,1892403311.1212728,1865808973.4332135
506,1907763977.1883066,1917808206.0152698,1890157589.5809531
507,1938029902.4446416,1943274417.5293589,1912767726.1409657
508,1965035696.8455896,1966551362.7364056,1932171266.8904748
509,1998981206.9704115,1996491824.1838634,1956429744.9565573
510,1998059371.127906,2010398069.116251,1973372363.180913
511,2005396717.4363012,2022271268.9151182,1986982736.1606703
512,2027606435.0118272,2041682362.3372202,2003110093.294246
513,2061028552.8986487,2067957557.1045742,2023262480.2366152
514,2087339631.670649,2093263919.4014866,2042104415.9601357
515,2105747760.1953762,2111611259.151678,2068053079.3470936
516,2140499320.9777522,2142851579.8468256,2091687539.0772789
517,2163555155.778629,2163722277.813371,2117651322.573486
518,2182548975.9636965,2189259732.172974,2138417359.8548155
519,2186919553.9871354,2209050400.995549,2157265221.542349
520,2235087664.2979436,2237487226.798234,2180659892.475548
521,2235513528.0579205,2255051280.693457,2206851966.2988167
522,2277041368.3129616,2283185093.200452,2229195012.507669
523,2316901733.0997953,2312083426.092796,2256877409.7192807
524,2341794636.4262495,2334395201.754868,2281679461.3527126
525,2328419981.0541415,2354888864.35383,2301973688.1514077
526,2360088599.018787,2372149169.1349797,2323526371.2170057
527,2364786124.243755,2394475822.1615906,2340492418.8145695
528,2378028154.5050683,2414165796.876083,2368575730.0629506
